"","COGS004","COGS005","COGS007","COGS008","COGS009","COGS011","COGS012","COGS013","COGS014","COGS015","COGS016","COGS017","COGS018","COGS020","COGS021","COGS022","COGS023","COGS026","COGS028","COGS029","COGS030","COGS033","COGS034","COGS035","COGS037","COGS038","COGS039","COGS040","COGS041","COGS043"
"NEG_E",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_F",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_G",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"NEG_H",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,0.638582851068256,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,0.471218716946458,0.108779379471291,4.34405165718566,0.942645759944897,0.458748805021545,0.187731811957016,1.42042682741451,18.6142259850799,0.160056354850095,0.322596610113319,0.937385215203581,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,2.79591058869397
"POS_A",1278444.9670537,85347.7114880082,336276.751535253,119276.324599367,39796.2980527685,73005.7077487959,36565.8926350194,30308.7703787675,66779.1301822086,42834.3510305881,20601.0038559767,13730.6903997132,14252.6685721274,45095.2167207787,29852.1769372751,6785.44013266021,234804.680174199,36250.3853444409,22458.0477498297,11498.0102869314,38689.5859251165,855565.668952226,7619.80288534846,17307.9533257998,60412.6023494404,26300.4821739929,8019.55649429663,47434.7956100224,23491.8052484593,153789.061931112
"POS_B",326740.150047529,22226.7982697364,85365.7261547265,30286.6885902757,10686.4743431083,20116.2147256336,9933.15624836672,7693.69792743328,18325.8727843402,11159.683038914,5444.03924614704,3700.79010659119,3892.96039093525,11855.676574755,7868.41013557196,1880.46913292021,64265.9002164046,9261.49459145861,5946.76075949429,3018.53980445687,10688.7118762942,229457.563718079,1947.24561310625,4616.68008733171,16662.0222002437,7017.83928337605,2117.14769299337,13068.6759694331,6406.42784463153,40442.8466654582
"POS_C",101278.437988866,6379.33064349778,23461.1687117619,8894.20575095873,3025.60728218325,5818.28473360023,2772.72673933837,2172.31464032595,5187.45425861348,3369.32309748128,1669.95444592159,1041.72944092129,1164.77686022488,3300.60269632378,2104.93400859983,470.362036833863,17102.5313743399,2671.45808368384,1612.50204965073,797.860200817319,2687.44755746826,63660.6528689731,516.341800746405,1291.67682689373,4267.91488482191,1887.00594053073,575.698910484011,3315.89135135097,1822.03559217569,10252.6041287408
"POS_D",20454.5512908789,1466.65770393987,5638.91247984452,2081.55935328356,650.971420923544,1237.0737887844,642.414348174665,504.132114129199,1170.32726789633,740.543877197535,328.846915093471,248.434121412122,245.400400267746,804.983626476703,531.063493998658,120.092434936306,4396.18027707189,633.457950682971,372.962778482516,208.006847648374,588.056706549608,15151.979951855,123.723562299123,326.467769434679,1039.56020366077,507.644288338052,134.275383276252,847.907593465234,418.094898951286,2577.82956277584
"POS_E",319.602363919983,79.8466944838326,131.711824346733,32.7102184087416,1.22593487932871,7.34168420643562,72.1598621707129,22.0641376210392,19.2207033048667,8.08233426682166,0.612377867958047,10.6651011717325,0.388907131961563,63.6854134870809,40.5248096573954,14.6852162286243,390.964649146709,0.942645759944897,16.0562081757541,17.8345221359166,1.42042682741451,930.711299253993,7.04247961340416,15.8072338955526,87.1768250139331,43.6103683996976,0.271812516753546,35.0985714070576,14.6516360083054,125.815976491229
"POS_F",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,11.4944913192286,0.668610230940582,2.13563370054075,1.01029178335271,0.612377867958047,0.313679446227427,0.388907131961563,0.849138846494412,3.76974973557166,0.108779379471291,4.34405165718566,0.942645759944897,7.33998088034472,2.81597717935524,1.42042682741451,18.6142259850799,0.160056354850095,2.90336949101987,12.1860077976466,0.490004139322445,0.271812516753546,0.9236466159752,0.523272714582335,11.1836423547759
